Time,OperationType,BarCode,CashierName,LineItem,Department,Category,CardholderName,RegisterName,StoreNumber,TransactionNumber,CustomerCode,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,NetTotal,Tax,TotalDue
2017-01-26T21:18:00Z,SALE,*,Nicholas Villines,Glass Mug,Beverage,Glass Bottle,NA,RT149,AZ23501411,00Z67OS78157,CWM11331L8O,0.11,3.73,1,0.01,3.7399999999999998,3,0.7399999999999998,NaN,NaN
2017-01-26T20:30:00Z,SALE,*,Carla Knotts,Lamb Chops,Entrees,Lamb Chops,NA,RT151,AZ23501251,00XT6G2179417,CXV10742CJW,0.11,13.38,1,0.01,13.39,-0.03,13.42,1.06,14.48
2017-01-26T20:30:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,NA,RT151,AZ23501305,00XT6G2179417,CXV10742CJW,0.11,13.9,1,0.01,13.91,-0.03,13.94,1.09,15.03
2017-01-26T20:30:00Z,SALE,*,Carla Knotts,Fountain Drink,Beverage,Fountain,NA,RT151,AZ23501289,00XT6G2179417,CXV10742CJW,0.11,2.88,1,0.01,2.8899999999999997,-0.03,2.9199999999999995,0.23,3.1499999999999995
2017-01-26T20:14:00Z,SALE,*,Carla Knotts,Aubergine and Chickpea Vindaloo,Entrees,Aubergine and Chickpea Vindaloo,RAMSES LAQUAY,RT151,AZ23501473,00OU1FE123677,CWM11331L8O,0.11,4.83,1,0.01,4.84,-0.03,4.87,0.38,5.25
2017-01-26T20:14:00Z,SALE,*,Carla Knotts,Beef and Squash Kabob,Kabobs,Beef,RAMSES LAQUAY,RT151,AZ23501367,00OU1FE123677,CWM11331L8O,0.11,12.02,1,2.36,14.379999999999999,-0.03,14.409999999999998,1.13,15.54
2017-01-26T20:13:00Z,SALE,*,Carla Knotts,Beef and Squash Kabob,Kabobs,Beef,NAIYANNA RANTANEN,RT151,AZ23501367,00P2KVD122494,CWM11331L8O,0.11,12.02,1,2.36,14.379999999999999,-0.03,14.409999999999998,1.13,15.54
2017-01-26T20:02:00Z,SALE,*,Carla Knotts,Chicken and Onion Kabob,Kabobs,Chicken,SAUDA COOKS,RT151,AZ23501336,00A5RUQ151663,CWM11331L8O,0.11,14.68,1,1.08,15.76,-0.03,15.79,1.23,17.02
2017-01-26T20:02:00Z,SALE,*,Carla Knotts,Beef and Squash Kabob,Kabobs,Beef,SAUDA COOKS,RT151,AZ23501367,00A5RUQ151663,CWM11331L8O,0.11,12.02,1,1.08,13.1,-0.03,13.129999999999999,1.04,14.169999999999998
2017-01-26T20:00:00Z,SALE,*,Katherine Roth,Beef and Apple Burgers,Entrees,Beef and Apple Burgers,NA,RT149,AZ23501258,00MNUPU169118,CWM11331L8O,0.11,4.03,1,0.01,4.04,3.63,0.41000000000000014,NaN,NaN
