Time,OperationType,BarCode,CashierName,LineItem,Department,Category,CardholderName,RegisterName,StoreNumber,TransactionNumber,CustomerCode,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,NetTotal,Tax,TotalDue
2017-02-28T20:51:00Z,SALE,*,Carla Knotts,Roll,Sides,Roll,TALION CORTESI,RT149,AZ23501435,00O7X8S104256,CWM11331L8O,0.13,0.75,2,0.01,1.51,-0.03,1.54,0.12,1.6600000000000001
2017-02-28T20:51:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,TALION CORTESI,RT149,AZ23501305,00O7X8S104256,CWM11331L8O,0.11,20.48,1,0.01,20.490000000000002,-0.03,20.520000000000003,1.62,22.140000000000004
2017-02-28T20:51:00Z,SALE,*,Carla Knotts,Chutney,Sides,Chutney,TALION CORTESI,RT149,AZ23501381,00O7X8S104256,CWM11331L8O,0.11,2.88,1,0.01,2.8899999999999997,-0.03,2.9199999999999995,0.23,3.1499999999999995
2017-02-28T20:35:00Z,SALE,*,Carla Knotts,Glass Mug,Beverage,Glass Bottle,AUSIE ZACARIAS,RT149,AZ23501411,00P33YM45205,CWM11331L8O,0.11,3.73,3,0.01,11.2,-0.03,11.229999999999999,0.9,12.129999999999999
2017-02-28T20:35:00Z,SALE,*,Carla Knotts,Chutney,Sides,Chutney,AUSIE ZACARIAS,RT149,AZ23501381,00P33YM45205,CWM11331L8O,0.11,2.88,1,6.78,9.66,-0.03,9.69,0.76,10.45
2017-02-28T20:35:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,AUSIE ZACARIAS,RT149,AZ23501305,00P33YM45205,CWM11331L8O,0.11,14.28,1,0.01,14.29,-0.03,14.319999999999999,1.12,15.439999999999998
2017-02-28T20:32:00Z,SALE,*,Carla Knotts,Water Bottles,general,general,JEANINE LEAF,RT149,AZ23501701,00D8BEX53750,CWM11331L8O,0.11,1.39,1,0.01,1.4,-0.03,1.43,0.11,1.54
2017-02-28T20:32:00Z,SALE,*,Carla Knotts,Lamb Chops,Entrees,Lamb Chops,JEANINE LEAF,RT149,AZ23501251,00D8BEX53750,CWM11331L8O,0.11,6.52,1,0.01,6.529999999999999,-0.03,6.56,0.51,7.069999999999999
2017-02-28T20:32:00Z,SALE,*,Carla Knotts,Yogurt,Sides,Yogurt,JEANINE LEAF,RT149,AZ23501596,00D8BEX53750,CWM11331L8O,0.11,4.5,1,0.01,4.51,-0.03,4.54,0.35,4.89
2017-02-28T20:32:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,JEANINE LEAF,RT149,AZ23501305,00D8BEX53750,CWM11331L8O,0.11,10.12,1,0.01,10.129999999999999,-0.03,10.159999999999998,0.8,10.959999999999999
2017-02-28T20:31:00Z,SALE,*,Carla Knotts,Lamb Chops,Entrees,Lamb Chops,JAQAI MARKUSON,RT149,AZ23501251,00GWNQF69884,CWM11331L8O,0.11,5.99,1,0.01,6,-0.03,6.03,0.47,6.5
2017-02-28T20:31:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,JAQAI MARKUSON,RT149,AZ23501305,00GWNQF69884,CWM11331L8O,0.11,7.62,1,0.01,7.63,-0.03,7.66,0.6,8.26
2017-02-28T20:31:00Z,SALE,*,Carla Knotts,Yogurt,Sides,Yogurt,JAQAI MARKUSON,RT149,AZ23501596,00GWNQF69884,CWM11331L8O,0.11,4.5,1,0.01,4.51,-0.03,4.54,0.35,4.89
2017-02-28T20:13:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,NA,RT149,AZ23501305,003ZS25185702,CWM11331L8O,0.11,14.28,1,0.01,14.29,-0.03,14.319999999999999,1.12,15.439999999999998
2017-02-28T20:12:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,BAGGIO FARLESS,RT149,AZ23501305,00RU3R4138557,CWM11331L8O,0.11,16.92,1,0.01,16.930000000000003,-0.03,16.960000000000004,1.33,18.290000000000006
2017-02-28T20:11:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,JAYTHEN GRAPES,RT149,AZ23501305,00K4JH8120121,CWM11331L8O,0.11,8.53,1,0.01,8.54,-0.03,8.569999999999999,0.68,9.249999999999998
2017-02-28T20:11:00Z,SALE,*,Carla Knotts,Lamb Chops,Entrees,Lamb Chops,JAYTHEN GRAPES,RT149,AZ23501251,00K4JH8120121,CWM11331L8O,0.11,12.88,1,0.01,12.89,-0.03,12.92,1.02,13.94
2017-02-28T20:11:00Z,SALE,*,Carla Knotts,Beef and Squash Kabob,Kabobs,Beef,JAYTHEN GRAPES,RT149,AZ23501367,00K4JH8120121,CWM11331L8O,0.11,12.02,1,1.73,13.75,-0.03,13.78,1.07,14.85
2017-02-28T20:11:00Z,SALE,*,Carla Knotts,Beef and Broccoli,Entrees,Beef and Broccoli,JAYTHEN GRAPES,RT149,AZ23501319,00K4JH8120121,CWM11331L8O,0.11,7.46,1,0.01,7.47,-0.03,7.5,0.58,8.08
2017-02-28T19:56:00Z,SALE,*,Carla Knotts,Salmon and Wheat Bran Salad,Salad,general,NA,RT149,AZ23501633,00L5M4C70023,CWM11331L8O,0.11,18.43,1,0.01,18.44,-0.03,18.470000000000002,1.45,19.92
2017-02-28T19:56:00Z,SALE,*,Carla Knotts,Beef and Broccoli Stir Fry,general,general,NA,RT149,AZ23501640,00L5M4C70023,CWM11331L8O,0.11,15.04,1,0.6,15.639999999999999,-0.03,15.669999999999998,1.22,16.889999999999997
2017-02-28T19:21:00Z,SALE,*,Carla Knotts,Beef and Squash Kabob,Kabobs,Beef,MANA DELSOIN,RT149,AZ23501367,00F43O155764,CWM11331L8O,0.11,12.02,1,2.36,14.379999999999999,-0.03,14.409999999999998,1.13,15.54
2017-02-28T19:21:00Z,SALE,*,Carla Knotts,Lamb and Veggie Kabob,Kabobs,Lamb,JOVIANNE KNIES,RT149,AZ23501350,00U6N1D117233,CWM11331L8O,0.11,13.38,1,2.36,15.74,-0.03,15.77,1.23,17
2017-02-28T19:19:00Z,SALE,*,Carla Knotts,Chicken and Onion Kabob,Kabobs,Chicken,ALAMEA BRIDGETTE,RT149,AZ23501336,00CMID1149024,CWM11331L8O,0.11,14.68,1,2.36,17.04,-0.03,17.07,1.34,18.41
2017-02-28T19:19:00Z,SALE,*,Carla Knotts,Chicken and Onion Kabob,Kabobs,Chicken,ALAMEA BRIDGETTE,RT149,AZ23501336,00CMID1149024,CWM11331L8O,0.11,14.68,1,1.08,15.76,-0.03,15.79,1.23,17.02
2017-02-28T19:19:00Z,SALE,*,Carla Knotts,Chicken and Onion Kabob,Kabobs,Chicken,ALAMEA BRIDGETTE,RT149,AZ23501336,00CMID1149024,CWM11331L8O,0.11,14.68,2,4.94,34.3,-0.03,34.33,2.69,37.019999999999996
