Time,OperationType,BarCode,CashierName,LineItem,Department,Category,CardholderName,RegisterName,StoreNumber,TransactionNumber,CustomerCode,Cost,Price,Quantity,Modifiers,Subtotal,Discounts,NetTotal,Tax,TotalDue
2017-03-31T20:58:00Z,SALE,*,Katherine Roth,Yogurt,Sides,Yogurt,ROSALA WIEAND,RT149,AZ23501596,00Z26KB52687,CWM11331L8O,0.11,4.5,1,0.01,4.51,-0.03,4.54,0.35,4.89
2017-03-31T20:58:00Z,SALE,*,Katherine Roth,Salmon and Wheat Bran Salad,Salad,general,ROSALA WIEAND,RT149,AZ23501633,00Z26KB52687,CWM11331L8O,0.11,18.43,1,0.01,18.44,-0.03,18.470000000000002,1.45,19.92
2017-03-31T20:47:00Z,SALE,*,Katherine Roth,Yogurt,Sides,Yogurt,REIZEL NORRINGTON,RT149,AZ23501596,00I8ER9121118,CWM11331L8O,0.11,4.5,1,0.01,4.51,-0.03,4.54,0.35,4.89
2017-03-31T20:47:00Z,SALE,*,Katherine Roth,Chicken and Onion Kabob,Kabobs,Chicken,REIZEL NORRINGTON,RT149,AZ23501336,00I8ER9121118,CWM11331L8O,0.11,14.68,1,2.36,17.04,-0.03,17.07,1.34,18.41
2017-03-31T20:46:00Z,SALE,*,Katherine Roth,Salmon and Wheat Bran Salad,Entrees,Salmon and Wheat Bran Salad,NA,RT149,AZ23501305,00ZMPRX161607,CWM11331L8O,0.11,NaN,1,0.01,30.09,-0.03,30.12,2.37,32.49
2017-03-31T20:46:00Z,SALE,*,Katherine Roth,Coconut and Beef Vindaloo,general,general,NA,RT149,AZ23501708,00ZMPRX161607,CWM11331L8O,0.11,5.94,2,0.01,11.89,-0.03,11.92,0.93,12.85
2017-03-31T20:46:00Z,SALE,*,Katherine Roth,Aubergine and Chickpea Vindaloo,Entrees,Aubergine and Chickpea Vindaloo,NA,RT149,AZ23501473,00ZMPRX161607,CWM11331L8O,0.11,4.83,2,0.01,9.67,-0.03,9.7,0.75,10.45
2017-03-31T20:42:00Z,SALE,*,Katherine Roth,Salmon and Wheat Bran Salad,Salad,general,BRYNDON BEUTEL,RT149,AZ23501633,007L0JI179830,CWM11331L8O,0.11,18.43,1,0.01,18.44,-0.03,18.470000000000002,1.45,19.92
2017-03-31T20:42:00Z,SALE,*,Katherine Roth,Chicken and Onion Kabob,Kabobs,Chicken,BRYNDON BEUTEL,RT149,AZ23501336,007L0JI179830,CWM11331L8O,0.11,14.68,1,2.36,17.04,-0.03,17.07,1.34,18.41
2017-03-31T20:40:00Z,SALE,*,Katherine Roth,Yogurt,Sides,Yogurt,NA,RT149,AZ23501596,00CQ49S173537,CWM11331L8O,0.11,4.5,2,4.94,13.940000000000001,-0.03,13.97,1.09,15.06
